treatment,exposure,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,visit,conversion
0,0,14.034939000272393,41.471430344911845,71.29126350136545,0.7465503990496596,2,5.104667067733976,3,4.706139396132468,7.251907851904503,18.796709830805337,2.417302617301501,9.449637182674229,1,1
1,1,12.145003559760134,127.17068519120775,68.71227769175687,-0.06577897708733496,4,11.136454007565057,4,7.3515060181778855,1428.180459426643,4650.697234564914,285.6360918853286,11.747938508610858,1,1
1,1,5.813146606127011,249.93052334943218,64.3683801202382,0.08662625248645421,1,3.016912312582617,4,1.6024681509701926,10.429185089555311,28.79248684346948,5.2145925447776555,4.542658084810654,1,1
0,0,28.038733419257927,75.30777529861675,56.965074869839746,-0.36502579184728995,1,3.095395103187619,4,2.317146614962584,21.781585965388214,60.313436410552896,10.890792982694107,1846.4719662703758,1,1
0,0,19.42366351944551,34.910808535173786,49.818191779842905,-0.04899647704151918,7,19.91692963955649,0,14.783121591885266,47.652865609913526,153.83077110567285,5.956608201239191,468.0465099282588,1,1
0,0,60.23059693023089,142.4401855940703,83.6560867459005,-0.19608232907946702,2,6.390740489052562,1,4.295362266274742,133.4857054144528,412.57624863251937,44.49523513815094,517.0659740701819,1,1
0,0,0.9790920327250076,59.866518492097455,86.37967586715193,-0.2764767283621583,8,26.249305791294024,4,14.546417009917077,131.28276817375547,352.32542866564813,14.586974241528386,841.8621320414037,1,1
1,1,30.973608807485885,40.94930544076272,60.80651708811695,-0.09281159618574207,1,3.1027889457602806,3,1.5165591469070314,98.22745151547505,341.5023099538753,49.11372575773753,21.197699801805467,1,1
0,0,43.18438375873731,20.743929861156758,85.93017847966655,-0.5087331668380208,5,14.207830699902594,2,10.328587205669745,19.45400760053017,55.244937227823,3.2423346000883613,6.45547385747582,1,1
1,1,42.74938036874253,124.20526975532775,51.94795342703406,0.5826520379344708,6,15.274878831390641,2,13.578416953112484,121.07275469458551,365.2646788555656,17.296107813512215,51.228786826958455,1,1
0,0,65.166176260287,186.4540655720326,85.62622984906513,-0.08129479797502,9,30.928390776916967,2,21.501090455636337,76.4959575653431,196.88469441832405,7.6495957565343105,5.546142993554952,1,1
1,1,39.17282934422071,27.507646505378037,79.96392590753031,0.35547948882285374,6,20.870140044980495,2,14.610160901800512,68.13984685531544,230.00438932308597,9.734263836473634,1613.871838357575,1,1
1,1,78.85363802387756,65.21767087908897,67.95991934375255,0.8714621504461011,8,20.78232433943354,6,18.401904659148475,18.530544372713447,57.35138215945164,2.0589493747459384,135.63484124094603,1,1
0,0,12.133515681161452,70.05852751278955,50.27039745975246,-0.20952967217961332,7,20.428294553774,4,13.548749379107367,116.4721067313402,396.35842308314443,14.559013341417526,312.20320738570405,1,1
0,0,20.987601100692235,43.57685970293807,69.00770599211347,0.1065497500814629,4,10.880031050824533,4,7.256135823323086,309.6081797813967,798.4235415348872,61.92163595627934,60.50639859086482,1,1
0,0,0.4253916614429937,219.5450162804457,85.56023304182897,0.14253733366287386,3,9.137046736680935,2,5.447061322925211,702.9052640608987,2107.607245302268,175.72631601522468,33.82987096504065,1,1
0,0,0.209457125118727,19.74929656387446,82.77610975676257,-0.3766494252476261,5,14.93510515726344,1,10.149051727367272,26.719934260008404,91.10843071233387,4.453322376668067,41.84963390364403,1,1
0,0,8.238103963179626,115.47474500186081,89.29046040562211,0.25477512414689285,4,10.857645752724466,3,7.230173162317785,199.13562060051473,610.08898569985,39.827124120102944,26.59731669396258,1,1
0,0,3.1877341143167266,132.03383598395808,66.32503430307274,0.40820960777000354,6,20.453713000958757,4,12.234102130079282,16.812316503904892,44.51003175125044,2.4017595005578416,59.817043783395185,1,1
