customer_id,treatment,age,gender,tenure_months,account_balance,transaction_count_30d,transaction_count_90d,avg_transaction_value,last_login_days,products_owned,mobile_banking_logins,support_tickets_90d,payment_failures,credit_score,satisfaction_score,churned
CUST000000,0,49,M,38,5857.9653871769915,9,25.891684515403092,32.05266564888974,17,2,8,2,2,746,75.49208852119904,0
CUST000001,0,29,M,19,58.59950910869472,8,24.234008925048574,87.90601037189491,1,2,12,0,0,738,93.27423616379818,0
CUST000002,0,35,M,62,1706.5153477976594,8,26.363808795016222,57.09511788885587,19,3,13,0,0,623,86.80589179631453,0
CUST000003,1,54,F,6,165.78562292573906,5,13.180346422086625,12.416613892355992,22,1,10,0,0,758,66.74733439598245,0
CUST000004,0,41,M,49,6852.406003265795,9,25.59127984017513,133.07570025226525,14,3,10,0,0,713,63.8150829472925,0
CUST000005,1,27,F,103,5280.361096356292,3,8.066496013919819,202.2035075330289,2,1,15,0,0,753,96.92830787552423,0
CUST000006,0,40,F,38,41.602192747716224,12,32.7684096129377,159.5809316842514,8,4,12,0,0,744,64.01103635733436,0
CUST000007,0,34,F,49,11177.800359579902,13,44.715458809582465,29.466818606491877,5,1,10,0,0,694,89.01271962586544,0
CUST000008,0,59,M,18,1057.9956327744335,12,39.532693645030434,28.70538976765095,10,3,22,3,0,762,36.07356292647274,0
CUST000009,0,32,M,25,280.0099624758206,11,31.80037137669733,34.37834698825369,15,4,8,1,1,702,40.19373085584529,1
CUST000010,0,53,F,22,18785.42241619234,11,36.481535414846704,19.750616594787015,11,4,12,1,1,820,51.07246476847009,0
CUST000011,0,40,F,27,5610.208063357741,4,12.286259544973673,121.73105969738276,36,4,11,0,0,747,82.67752593222471,0
CUST000012,0,55,F,41,13543.693703728175,9,28.366810396881714,17.68392401191705,8,1,12,2,3,685,52.43709049115589,0
CUST000013,1,23,F,11,3.9190630100835593,10,33.24056341206292,80.90259802525522,2,1,17,1,0,673,90.63834729874065,0
CUST000014,0,65,M,22,785.7623278994539,5,14.127619501569066,36.95240863680892,26,1,16,4,0,650,85.98819755251881,0
CUST000015,0,58,F,29,748.476723289752,6,20.40005696683567,86.08918072173121,11,4,10,0,0,649,84.3076775612453,0
CUST000016,1,18,F,42,4088.3363190847954,11,34.1813632492009,34.393647989906746,13,1,13,0,0,809,72.21140334404767,0
CUST000017,0,66,M,15,14.718209684940144,10,31.72515448322958,10.0,5,2,11,3,0,684,69.4808437718719,0
CUST000018,1,45,M,34,115.72748600001817,6,18.657061799003564,44.785730472963,2,2,11,0,1,701,89.75553762564613,0
CUST000019,1,21,M,27,202285.24786336668,2,6.123171822995257,41.91896091337336,2,5,8,0,3,612,55.46496625417225,0
